name  		RA            DEC
AT2024slu    19:54:30.941  +00:39:50.36
AT2024slr    19:44:16.260  -12:02:07.43
AT2024sjy    19:46:29.080  +17:33:47.10
AT2024shc    19:31:06.329  +00:00:18.76
AT2024sgu    20:24:37.077  +06:08:11.30
AT2024sew    20:33:02.982  +16:59:11.42
AT2024sdx    20:04:35.350  +13:17:04.10
AT2024sdw    20:03:47.477  -11:51:17.64
AT2024sde    20:14:51.448  +05:16:10.12
AT2024sbq    19:25:23.808  -09:21:22.02
AT2024sbp    20:11:34.582  -11:14:48.84
AT2024sad    21:02:25.304  +03:02:10.54
AT2024rzn    21:05:37.001  +12:50:31.72
AT2024rxk    19:52:41.440  -14:09:56.93
AT2024rxe    20:45:07.225  -06:47:49.70
SN2024rwz    20:39:07.479  +10:49:58.58
AT2024rwy    20:11:12.317  -00:05:04.05
AT2024rvx    20:27:37.469  +11:36:57.02
AT2024rvr    20:55:33.467  +15:38:11.86
AT2024rvo    21:16:55.372  +10:17:46.60
AT2024rtg    21:12:58.120  -01:28:01.16
AT2024rte    21:18:58.392  +06:10:22.78
AT2024rsn    20:11:40.206  +02:37:57.35
AT2024rsj    20:21:55.664  -00:47:22.92
AT2024rsa    20:20:41.822  +12:39:39.07
AT2024rqc    20:18:44.723  -13:42:50.10
AT2024row    20:50:21.689  +03:12:32.64
AT2024rlw    20:46:48.130  +13:23:54.14
AT2024rkw    19:47:08.320  -09:24:19.80
AT2024rjv    19:15:44.310  -00:46:50.60
AT2024rgu    21:03:52.845  +09:19:19.91
AT2024rgh    20:34:01.904  -01:38:53.71
AT2024rfw    21:20:54.324  -01:53:19.59
AT2024rfa    21:10:54.808  +06:55:54.54
AT2024rdx    20:17:15.333  -03:53:22.14
AT2024rdg    20:10:40.934  -06:14:41.08
AT2024rce    20:30:29.629  +01:11:11.71
AT2024rbw    21:07:49.032  -10:36:56.87
AT2024rbv    20:30:18.261  +09:09:25.20
AT2024rbt    21:22:09.154  +00:43:52.84
AT2024raw    20:42:26.412  +00:31:48.68
AT2024rav    20:45:10.109  -01:07:36.30
AT2024rae    21:04:47.919  +08:59:03.74
SN2024qzr    21:25:41.146  -06:33:04.47
AT2024qzd    20:39:45.358  -08:34:47.66
AT2024qtj    20:38:03.629  +12:46:14.83
AT2024qpg    20:23:56.737  +15:42:05.15
AT2024qpa    21:02:27.672  +10:08:03.01
AT2024qkj    19:56:36.443  -18:43:05.55
SN2024qiu    20:50:03.062  +06:39:29.31
AT2024qii    21:01:02.851  -15:16:16.03
AT2024qig    20:57:54.893  -08:05:28.45
AT2024qif    20:42:27.158  -18:13:48.49
AT2024qhz    21:02:08.533  +09:56:58.06
AT2024qhj    20:08:17.917  -18:02:25.50
SN2024qgw    20:21:51.888  -14:34:48.47
AT2024qgt    20:21:41.748  +07:45:07.74
AT2024qfs    20:03:30.661  -01:09:25.43
AT2024qeb    19:32:34.770  +06:47:52.50
AT2024qea    19:28:54.630  -06:05:30.80
AT2024qae    20:36:32.912  +07:01:49.10
AT2024pzz    19:31:06.748  +11:14:36.70
AT2024pze    19:44:13.737  +00:15:57.80
AT2024pse    19:59:59.264  +12:29:44.31
AT2024prc    19:35:28.874  -16:44:09.26
AT2024pqg    21:26:28.338  -01:46:03.02
AT2024ppu    20:40:18.518  -11:38:03.72
AT2024ppc    19:18:15.760  +06:19:27.40
AT2024pny    21:19:42.836  +04:05:39.69
AT2024pmq    21:24:27.914  +05:55:57.19
SN2024pii    20:59:06.144  -03:13:48.02
AT2024phi    19:22:36.906  +02:29:56.42
SN2024pfr    19:50:30.253  +08:20:18.30
AT2024vdv    19:47:59.083  +18:33:03.42
AT2024vdr    21:16:47.253  +09:30:53.44
AT2024vcm    19:22:02.836  -12:10:03.72
AT2024vbh    20:49:14.368  +06:34:04.76
AT2024vap    20:34:27.020  +14:17:15.83
AT2024uvv    20:54:48.965  +10:23:26.55
AT2024uun    20:00:38.430  +13:31:29.10
AT2024uum    19:09:17.390  +04:53:39.10
AT2024uul    19:13:18.890  +04:14:46.10
AT2024uuk    19:13:58.160  +04:30:29.10
AT2024uuj    19:10:06.220  +04:12:07.30
AT2024uug    19:10:45.080  +04:42:07.90
AT2024uuf    19:11:23.230  +03:59:05.50
AT2024ust    20:54:37.471  -02:48:14.70
AT2024usd    20:25:06.947  -19:16:05.42
AT2024urt    19:47:44.402  -18:27:57.01
AT2024und    19:18:43.051  -09:25:05.94
AT2024umz    21:07:23.027  -13:32:59.11
AT2024umh    21:15:55.224  -09:03:44.53
AT2024ume    20:08:06.011  -00:14:13.37
AT2024ulc    21:22:14.451  +08:10:01.99
AT2024ujk    20:20:46.157  +13:27:39.20
AT2024uif    20:52:30.730  -01:26:48.58
AT2024ufx    20:55:57.959  -15:29:29.40
AT2024ueh    21:26:03.021  +05:15:56.18
AT2024uds    19:34:24.999  -17:05:34.56
AT2024udm    20:09:28.366  -18:03:09.56
AT2024ucl    21:05:31.381  +05:50:28.93
AT2024ubw    19:08:44.680  -12:50:41.50
AT2024uah    20:00:28.355  -03:00:34.32
AT2024tyt    20:41:45.397  -12:20:54.19
AT2024tyn    20:33:41.782  -07:20:57.54
SN2024tyg    20:37:18.611  -08:02:31.18
AT2024tyb    20:36:44.772  -04:00:26.84
AT2024txp    20:47:50.581  -11:03:31.99
AT2024txn    19:48:33.623  -17:42:20.80
AT2024twt    19:50:10.792  -10:58:17.48
AT2024twr    20:44:50.010  +02:08:12.74
AT2024twj    20:47:50.090  +15:43:02.90
AT2024tvy    20:45:16.254  -16:17:31.47
AT2024tuo    21:28:20.321  +00:22:38.90
AT2024tca    21:19:50.183  -04:05:26.00
AT2024tbk    20:48:31.968  -10:32:15.27
AT2024tbg    20:47:14.447  -01:30:43.74
AT2024tbb    20:21:31.035  -09:13:39.63
AT2024szt    21:00:36.852  +00:30:59.56
AT2024syx    18:57:49.650  -04:22:27.74
AT2024sxn    21:19:06.827  +00:35:13.56
AT2024sww    21:24:27.708  +03:52:24.01
AT2024swu    19:55:36.201  -17:35:00.83
AT2024svz    21:22:03.191  -05:17:46.36
AT2024svy    21:23:37.092  +07:29:06.85
AT2024suo    21:02:54.706  +03:49:07.58
AT2024sun    20:53:55.872  -09:59:28.30
AT2024suf    19:01:20.642  -08:45:41.03
AT2024sua    19:42:16.616  +10:10:05.80
AT2024stq    19:34:59.093  -01:36:17.35
AT2024ssm    20:00:08.875  -14:56:40.60
SN2024sry    19:50:02.640  -15:15:04.99
AT2024sqw    20:21:01.206  +00:29:01.14
AT2024spv    21:20:51.253  +01:52:25.60
AT2024sox    21:00:32.670  +00:23:07.82
AT2024son    19:49:47.490  +12:06:18.08
AT2024snm    20:47:17.333  -10:41:02.14
SN2024snj    20:46:26.281  -17:53:58.01
AT2024smg    20:32:17.103  -03:15:28.31
AT2024slv    19:20:35.530  +15:04:29.70
SN2024ryr    20:32:13.277  +18:05:48.74
AT2024vsx    20:01:07.470  +05:15:23.75
AT2024vjt    20:41:36.502  +05:56:21.54
AT2024vgm    18:57:12.596  -08:07:16.55
AT2024vee    19:20:35.070  +10:27:01.40
AT2024aajq   21:12:06.492  +07:20:49.50
AT2024aaes   21:13:28.697  +00:04:58.05
AT2024ytc    21:20:56.231  +00:05:30.18
AT2024yfy    21:20:08.105  +02:23:40.07
SN2024uzd    20:53:04.535  -12:34:41.39
SN2024uab    20:59:13.612  -05:50:18.72
SN2024srk    19:24:15.179  -07:14:49.27
SN2024rrg    20:47:55.457  -17:45:19.23
SN2024qfq    20:57:58.208  -06:12:50.75
